party,candidate,vote,state,district
REP,Wayne Johnson,136473,Georgia,2
REP,Brian Jack,273036,Georgia,3
DEM,Maura Keller,138749,Georgia,3
DEM,Hank Johnson,229290,Georgia,4
REP,Eugene Yu,74071,Georgia,4
DEM,Nikema Williams,294470,Georgia,5
REP,John Salvesen,49221,Georgia,5
DEM,Lucy McBath,277027,Georgia,6
REP,Jeff Criswell,93909,Georgia,6
REP,Rich McCormick,275907,Georgia,7
DEM,Bob Christian,149535,Georgia,7
REP,Austin Scott,231547,Georgia,8
DEM,Darrius Butler,104434,Georgia,8
REP,Andrew Clyde,271062,Georgia,9
DEM,Tambrei Cash,121754,Georgia,9
REP,Mike Collins,256442,Georgia,10
DEM,Lexy Doherty,150274,Georgia,10
REP,Barry Loudermilk,269849,Georgia,11
DEM,Katy Stamper,131064,Georgia,11
REP,Rick Allen,205849,Georgia,12
DEM,Elizabeth Johnson,135417,Georgia,12
DEM,David Scott,256902,Georgia,13
REP,Jonathan Chavez,100730,Georgia,13
REP,Marjorie Taylor Greene,243446,Georgia,14
DEM,Shawn Harris,134759,Georgia,14
DEM,Jonathan Jackson,208398,Illinois,1
REP,Marcus Lewis,108064,Illinois,1
DEM,Robin Kelly,195777,Illinois,2
REP,Ashley Ramos,94004,Illinois,2
DEM,Delia Ramirez,174825,Illinois,3
REP,John Booras,84987,Illinois,3
DEM,"Jesús ""Chuy"" García",139343,Illinois,4
REP,Lupe Castillo,56323,Illinois,4
DEM,Mike Quigley,251025,Illinois,5
REP,Tommy Hanson,112931,Illinois,5
DEM,Sean Casten,196647,Illinois,6
REP,Niki Conforti,166116,Illinois,6
DEM,Danny Davis,222408,Illinois,7
REP,Chad Koppie,44598,Illinois,7
DEM,Raja Krishnamoorthi,172920,Illinois,8
REP,Mark Rice,130153,Illinois,8
DEM,Janice Schakowsky,231722,Illinois,9
REP,Seth Cohen,107106,Illinois,9
DEM,Brad Schneider,196358,Illinois,10
REP,Jim Carris,131025,Illinois,10
DEM,Bill Foster,199825,Illinois,11
REP,Jerry Evans,159630,Illinois,11
REP,Mike Bost,272754,Illinois,12
DEM,Brian Roberts,94875,Illinois,12
DEM,Nikki Budzinski,191339,Illinois,13
REP,Joshua Loyd,137917,Illinois,13
DEM,Lauren Underwood,183446,Illinois,14
REP,James Marter,149464,Illinois,14
REP,Mary Miller,308825,Illinois,15
REP,Darin LaHood,310925,Illinois,16
DEM,Eric Sorensen,170261,Illinois,17
REP,Joe McGraw,142567,Illinois,17
REP,Andy Harris,246356,Maryland,1
