STATE,Year,Total,Dem Votes,Dem Percent,Dem EV,Rep Votes,Rep Percent,Rep EV
South Carolina,2012,1964118,865941,44.1,,1071645,54.6,9
South Dakota,2012,363815,145039,39.9,,210610,57.9,3
Tennessee,2012,2458577,960709,39.1,,1462330,59.5,11
Texas,2012,7993851,3308124,41.4,,4569843,57.2,38
Utah,2012,1017440,251813,24.7,,740600,72.8,6
Vermont,2012,299290,199239,66.6,3,92698,31,
Virginia,2012,3854490,1971820,51.2,13,1822522,47.3,
Washington,2012,3125516,1755396,56.2,12,1290670,41.3,
West Virginia,2012,670438,238269,35.5,,417655,62.3,5
Wisconsin,2012,3071434,1620985,52.9,10,1410966,46,
Wyoming,2012,249061,69286,27.8,,170962,68.6,3
Alabama,2008,2099819,813479,38.7,,1266546,60.3,9
Alaska,2008,326197,123594,37.9,,193841,59.4,3
Arizona,2008,2293475,1034707,45.1,,1230111,53.6,10
Arkansas,2008,1086617,422310,38.9,,638017,58.7,6
California,2008,13561900,8274473,61,55,5011781,37,
Colorado,2008,2401361,1288576,53.7,9,1073589,44.7,
Connecticut,2008,1646792,997772,60.6,7,629428,38.2,
Delaware,2008,412412,255459,61.9,3,152374,36.9,
Dist. of Col.,2008,265853,245800,92.5,3,17367,6.5,
Florida,2008,8390744,4282074,51,27,4045624,48.2,
Georgia,2008,3924440,1844137,47,,2048744,52.2,15
Hawaii,2008,453568,325871,71.8,4,120566,26.6,
Idaho,2008,655032,236440,36.1,,403012,61.5,4
Illinois,2008,5523051,3419673,61.9,21,2031527,36.8,
Indiana,2008,2751054,1374039,49.9,11,1345648,48.9,
Iowa,2008,1543662,828940,53.7,7,682379,44.2,
Kansas,2008,1235872,514765,41.7,,699655,56.6,6
Kentucky,2008,1826508,751985,41.2,,1048462,57.4,8
Louisiana,2008,1960761,782989,39.9,,1148275,58.6,9
Maine,2008,731163,421923,57.7,4,295273,40.4,
Maryland,2008,2631596,1629467,61.9,10,959862,36.5,
Massachusetts,2008,3080985,1904097,61.8,12,1108854,36,
Michigan,2008,5001766,2872579,57.4,17,2048639,41,
Minnesota,2008,2910369,1573354,54.1,10,1275409,43.8,
Mississippi,2008,1289865,554662,43,,724597,56.2,6
Missouri,2008,2925205,1441911,49.3,,1445814,49.4,11
Montana,2008,490109,231667,47.3,,242763,49.5,3
Nebraska,2008,801281,333319,41.6,,452979,56.53,2
NE-1,2008,273893,121411,44.33,,148179,54.1,1
NE-2,2008,277809,138809,49.97,1,135439,48.75,
NE-3,2008,246742,73099,29.63,,169361,68.64,1
Nevada,2008,967848,533736,55.1,5,412827,42.7,
New Hampshire,2008,707611,384826,54.4,4,316534,44.7,
New Jersey,2008,3868237,2215422,57.3,15,1613207,41.7,
New Mexico,2008,830158,472422,56.9,5,346832,41.8,
New York,2008,7591233,4769700,62.8,31,2742298,36.1,
North Carolina,2008,4310789,2142651,49.7,15,2128474,49.4,
North Dakota,2008,316621,141278,44.6,,168601,53.3,3
Ohio,2008,5698260,2933388,51.5,20,2674491,46.9,
Oklahoma,2008,1462661,502496,34.4,,960165,65.6,7
Oregon,2008,1827864,1037291,56.7,7,738475,40.4,
Pennsylvania,2008,6034745,3276363,54.3,21,2655885,44,
Rhode Island,2008,469767,296571,63.1,4,165391,35.2,
South Carolina,2008,1920969,862449,44.9,,1034896,53.9,8
South Dakota,2008,381975,170924,44.7,,203054,53.2,3
Tennessee,2008,2599749,1087437,41.8,,1479178,56.9,11
Texas,2008,8077795,3528633,43.7,,4479328,55.5,34
Utah,2008,952370,327670,34.4,,596030,62.6,5
Vermont,2008,325046,219262,67.5,3,98974,30.4,
Virginia,2008,3723260,1959532,52.6,13,1725005,46.3,
Washington,2008,3036878,1750848,57.7,11,1229216,40.5,
West Virginia,2008,713362,303857,42.6,,397466,55.7,5
Wisconsin,2008,2983417,1677211,56.2,10,1262393,42.3,
Wyoming,2008,256035,82868,32.4,,164958,64.4,3
Alabama,2004,1883449,693933,36.8,,1176394,62.5,9
Alaska,2004,312598,111025,35.5,,190889,61.1,3
Arizona,2004,2012585,893524,44.4,,1104294,54.9,10
Arkansas,2004,1054945,469953,44.5,,572898,54.3,6
California,2004,12421852,6745485,54.3,55,5509826,44.4,
Colorado,2004,2130330,1001732,47,,1101255,51.7,9
Connecticut,2004,1578769,857488,54.3,7,693826,43.9,
Delaware,2004,375190,200152,53.3,3,171660,45.8,
Dist. of Col.,2004,227586,202970,89.2,3,21256,9.3,
Florida,2004,7609810,3583544,47.1,,3964522,52.1,27
Georgia,2004,3301875,1366149,41.4,,1914254,58,15
Hawaii,2004,429013,231708,54,4,194191,45.3,
Idaho,2004,598447,181098,30.3,,409235,68.4,4
Illinois,2004,5274322,2891550,54.8,21,2345946,44.5,
Indiana,2004,2468002,969011,39.3,,1479438,59.9,11
Iowa,2004,1506908,741898,49.2,,751957,49.9,7
Kansas,2004,1187756,434993,36.6,,736456,62,6
Kentucky,2004,1795882,712733,39.7,,1069439,59.5,8
Louisiana,2004,1943106,820299,42.2,,1102169,56.7,9
Maine,2004,740752,396842,53.6,4,330201,44.6,
Maryland,2004,2386678,1334493,55.9,10,1024703,42.9,
Massachusetts,2004,2912388,1803800,61.9,12,1071109,36.8,
Michigan,2004,4839252,2479183,51.2,17,2313746,47.8,
Minnesota,2004,2828387,1445014,51.1,9,1346695,47.6,
Mississippi,2004,1152145,458094,39.8,,684981,59.5,6
Missouri,2004,2731364,1259171,46.1,,1455713,53.3,11
Montana,2004,450445,173710,38.6,,266063,59.1,3
Nebraska,2004,778186,254328,32.7,,512814,65.9,5
Nevada,2004,829587,397190,47.9,,418690,50.5,5
New Hampshire,2004,677738,340511,50.2,4,331237,48.9,
New Jersey,2004,3611691,1911430,52.9,15,1670003,46.2,
New Mexico,2004,756304,370942,49,,376930,49.8,5
New York,2004,7391036,4314280,58.4,31,2962567,40.1,
North Carolina,2004,3501007,1525849,43.6,,1961166,56,15
North Dakota,2004,312833,111052,35.5,,196651,62.9,3
Ohio,2004,5627908,2741167,48.7,,2859768,50.8,20
Oklahoma,2004,1463758,503966,34.4,,959792,65.6,7
Oregon,2004,1836782,943163,51.3,7,866831,47.2,
Pennsylvania,2004,5769590,2938095,50.9,21,2793847,48.4,
Rhode Island,2004,437134,259765,59.4,4,169046,38.7,
South Carolina,2004,1617730,661699,40.9,,937974,58,8
South Dakota,2004,388215,149244,38.4,,232584,59.9,3
Tennessee,2004,2437319,1036477,42.5,,1384375,56.8,11
Texas,2004,7410765,2832704,38.2,,4526917,61.1,34
Utah,2004,927844,241199,26,,663742,71.5,5
Vermont,2004,312309,184067,58.9,3,121180,38.8,
Virginia,2004,3198367,1454742,45.5,,1716959,53.7,13
Washington,2004,2859084,1510201,52.8,11,1304894,45.6,
West Virginia,2004,755887,326541,43.2,,423778,56.1,5
Wisconsin,2004,2997007,1489504,49.7,10,1478120,49.3,
Wyoming,2004,243428,70776,29.1,,167629,68.9,3
Alabama,2000,1666272,692611,41.6,,941173,56.5,9
Alaska,2000,285560,79004,27.7,,167398,58.6,3
Arizona,2000,1532016,685341,44.7,,781652,51,8
Arkansas,2000,921781,422768,45.9,,472940,51.3,6
California,2000,10965856,5861203,53.4,54,4567429,41.7,
Colorado,2000,1741368,738227,42.4,,883748,50.8,8
Connecticut,2000,1459525,816015,55.9,8,561094,38.4,
Delaware,2000,327622,180068,55,3,137288,41.9,
Dist. of Col.,2000,201894,171923,85.2,2,18073,9,
Florida,2000,5963110,2912253,48.8,,2912790,48.8,25
Georgia,2000,2596645,1116230,43,,1419720,54.7,13
Hawaii,2000,367951,205286,55.8,4,137845,37.5,
Idaho,2000,501621,138637,27.6,,336937,67.2,4
Illinois,2000,4742123,2589026,54.6,22,2019421,42.6,
Indiana,2000,2199302,901980,41,,1245836,56.6,12
Iowa,2000,1315563,638517,48.5,7,634373,48.2,
Kansas,2000,1072218,399276,37.2,,622332,58,6
Kentucky,2000,1544187,638898,41.4,,872492,56.5,8
Louisiana,2000,1765656,792344,44.9,,927871,52.6,9
Maine,2000,651817,319951,49.1,4,286616,44,
Maryland,2000,2020480,1140782,56.5,10,813797,40.3,
Massachusetts,2000,2702984,1616487,59.8,12,878502,32.5,
Michigan,2000,4232711,2170418,51.3,18,1953139,46.1,
Minnesota,2000,2438685,1168266,47.9,10,1109659,45.5,
Mississippi,2000,994184,404614,40.7,,572844,57.6,7
Missouri,2000,2359892,1111138,47.1,,1189924,50.4,11
Montana,2000,410997,137126,33.4,,240178,58.4,3
Nebraska,2000,697019,231780,33.3,,433862,62.2,5
Nevada,2000,608970,279978,46,,301575,49.5,4
New Hampshire,2000,569081,266348,46.8,,273559,48.1,4
New Jersey,2000,3187226,1788850,56.1,15,1284173,40.3,
New Mexico,2000,598605,286783,47.9,5,286417,47.8,
New York,2000,6821999,4107697,60.2,33,2403374,35.2,
North Carolina,2000,2911262,1257692,43.2,,1631163,56,14
North Dakota,2000,288256,95284,33.1,,174852,60.7,3
Ohio,2000,4701998,2183628,46.4,,2350363,50,21
Oklahoma,2000,1234229,474276,38.4,,744337,60.3,8
Oregon,2000,1533968,720342,47,7,713577,46.5,
Pennsylvania,2000,4913119,2485967,50.6,23,2281127,46.4,
Rhode Island,2000,409047,249508,61,4,130555,31.9,
South Carolina,2000,1382717,565561,40.9,,785937,56.8,8
South Dakota,2000,316269,118804,37.6,,190700,60.3,3
Tennessee,2000,2076181,981720,47.3,,1061949,51.1,11
Texas,2000,6407637,2433746,38,,3799639,59.3,32
Utah,2000,770754,203053,26.3,,515096,66.8,5
Vermont,2000,294308,149022,50.6,3,119775,40.7,
Virginia,2000,2739447,1217290,44.4,,1437490,52.5,13
Washington,2000,2487433,1247652,50.2,11,1108864,44.6,
West Virginia,2000,648124,295497,45.6,,336475,51.9,5
Wisconsin,2000,2598607,1242987,47.8,11,1237279,47.6,
Wyoming,2000,218351,60481,27.7,,147947,67.8,3
Alabama,1996,1534349,662165,43.2,,769044,50.1,9
Alaska,1996,241620,80380,33.3,,122746,50.8,3
Arizona,1996,1404405,653288,46.5,8,622073,44.3,
Arkansas,1996,884262,475171,53.7,6,325416,36.8,
California,1996,10019484,5119835,51.1,54,3828380,38.2,
