,The Forest,Anesthesia,Lamb,Ride Along 2,13 Hours: The Secret Soldiers of Benghazi,Norm of the North,Dirty Grandpa,The 5th Wave,The Boy,Ip Man 3,Synchronicity,Kung Fu Panda 3,The Finest Hours,Jane Got a Gun,"Hail, Caesar!",Pride + Prejudice + Zombies,The Choice,Deadpool,Zoolander 2,How to Be Single,Risen,The Witch,Race,Gods of Egypt,Triple 9,Zootopia,London Has Fallen,Whiskey Tango Foxtrot,The Other Side of the Door,10 Cloverfield Lane,The Young Messiah,The Perfect Match,"Hello, My Name Is Doris",Miracles from Heaven,The Divergent Series: Allegiant,The Bronze,Midnight Special,Batman v Superman: Dawn of Justice,My Big Fat Greek Wedding 2,Everybody Wants Some!!,God's Not Dead 2,Meet the Blacks,Miles Ahead,The Boss,Hardcore Henry,Demolition,The Invitation,The Jungle Book,Barbershop: The Next Cut,Criminal,Green Room,The Huntsman: Winter's War,Elvis & Nixon,Keanu,Mother's Day,Ratchet & Clank,Captain America: Civil War,Money Monster,The Darkness,Love & Friendship,The Angry Birds Movie,Neighbors 2: Sorority Rising,The Nice Guys,X-Men: Apocalypse,Alice Through the Looking Glass,TMNT 2: Out of the Shadows,Me Before You,Popstar: Never Stop Never Stopping,The Conjuring 2,Warcraft,Now You See Me 2,Finding Dory,Central Intelligence,Independence Day: Resurgence,The Shallows,Free State of Jones,The Neon Demon,The Legend of Tarzan,The BFG,The Purge: Election Year,The Secret Life of Pets,Mike and Dave Need Wedding Dates,Characterz,The Infiltrator,Ghostbusters,Star Trek Beyond,Ice Age: Collision Course,Lights Out,Jason Bourne,Bad Moms,Nerve,Suicide Squad,Ben-Hur,War Dogs,Hands of Stone,The Girl on the Train,Keeping Up with the Joneses,Friend Request,23,Rogue One: A Star Wars Story (film),21
"Hello, My Name Is Doris",2.6537852,2.1835022,1.2069165,2.5663414,4.2392893,3.4812157,1.46918,5.1615787,3.1196978,3.8597214,4.8140025,3.9127655,1.0744294,2.1170144,1.7866404,3.593348,1.4332768,4.6378517,4.682351,1.0272508,2.2589731,3.1141994,1.8839663,4.1240587,3.0165412,3.903786,4.4562616,0.38384238,1.961633,1.8654467,2.1213355,0.7615205,0.0,1.7160009,5.2000675,1.5007391,5.0599246,4.6126385,0.75912535,1.7544987,1.2807993,1.860024,0.3528576,2.1368845,4.6785707,0.31403518,1.1124344,3.6877577,1.9534574,4.678323,2.2341547,3.839044,4.682998,2.8707924,1.3431385,4.844221,4.8796024,3.1938002,3.481974,3.6040823,4.6313024,1.4347144,1.570282,4.4085255,3.800264,4.6690607,0.67046064,2.3441226,3.1277163,4.5724096,4.2877536,2.952533,1.9092348,5.144032,2.1081483,2.8533187,1.2884401,3.573428,3.584617,2.836768,3.8000777,1.6178281,3.8022494,2.436058,2.9944797,4.8032002,4.5139365,2.102374,4.6838393,0.9921271,1.038271,4.7345448,1.8324537,2.3716533,2.4392645,1.5916293,1.2039225,0.37059966,3.2571197,4.9657197,3.7746973
Miracles from Heaven,1.764697,1.9179927,2.1549234,1.987122,3.0241451,2.3092854,2.138685,3.5599833,2.1889734,2.6797612,3.2228107,2.7359073,1.5076084,1.8994404,1.2096264,2.5042498,1.6689055,3.244373,3.3559399,1.4167994,1.1913657,2.0423684,1.5905056,2.6935954,2.259416,2.5602255,3.2196426,1.5592247,0.37982258,1.4260985,1.2137829,1.7426891,1.7160009,0.0,3.6221988,1.2973882,3.4517949,3.2261705,1.264745,2.0295026,0.9092053,1.7746627,1.9585093,1.5783608,3.2405574,1.8180255,2.0033271,2.4495292,2.0671246,3.265145,2.1951153,2.503353,3.429715,2.17723,1.0186079,3.2321687,3.5211322,2.341838,1.8607808,2.5005944,3.0272164,1.2631403,1.0092542,2.9265442,2.4948552,3.1059225,1.7264129,2.2823884,2.217646,3.029595,3.0845752,1.3249623,1.9725593,3.538548,0.4358175,1.8917065,1.265411,2.4510334,2.3845513,1.9131005,2.4450612,2.258045,2.517311,1.8030461,2.2392502,3.1827066,2.8913243,1.1873785,3.3139231,1.099536,1.6517478,3.4103184,1.1330426,1.8693116,1.654562,0.9639259,1.1869221,1.6057467,1.6319324,3.3602588,2.5155969
The Divergent Series: Allegiant,3.3478699,4.051715,5.3045597,3.9081142,2.65865,2.6422396,5.16233,0.30333045,3.1223059,2.9367223,1.1225902,2.9562173,4.6567817,4.0888767,4.204347,3.2123346,4.6249475,2.0309699,2.251336,4.7657146,3.6422272,3.0391371,4.211722,1.7477416,3.5578265,2.0803843,2.5716443,4.9369993,3.4215915,3.9553833,3.8379166,5.100557,5.2000675,3.6221988,0.0,4.2701893,0.41709664,1.7678294,4.5574265,4.7956963,4.097433,4.4688315,5.4018707,3.9432633,1.9500604,5.2573605,5.182122,2.4197958,4.6700473,2.1791902,4.4276896,2.157341,2.5898776,3.692181,4.212844,0.9392598,1.8638575,3.3526502,1.8903545,3.1372175,0.62352383,4.463515,4.2505608,1.3896291,2.2347045,0.63332796,5.0784354,4.459156,3.1718707,1.1443378,2.5886257,2.424197,4.604677,0.3993861,3.2491412,3.4844444,4.4589634,3.0355175,2.5949097,3.5577183,2.066271,5.234531,2.3200817,3.9003806,3.4170272,0.78779155,0.8274725,3.50301,2.2151759,4.289049,4.90707,2.1494112,4.010342,4.0607038,3.77208,3.9208393,4.181987,5.1194263,2.1274264,1.0271127,2.3238823
The Bronze,1.2863494,1.181152,1.6688262,1.6126655,3.1935356,2.274281,1.7154227,4.2844234,1.7996373,2.4393468,3.8765938,2.5078406,1.1574887,1.0680162,1.9364777,2.1414745,1.0481619,3.545055,3.5325918,1.5491042,2.069879,1.7473708,0.54738593,2.8919842,2.0222127,2.84411,3.4138787,1.226716,1.3361086,0.7152201,2.0642283,0.9767726,1.5007391,1.2973882,4.2701893,0.0,4.204021,3.485528,1.0793381,1.3667359,0.5165328,1.0906672,1.6702429,1.0445395,3.6834629,1.6013485,1.5435244,2.5531807,1.0747405,3.712539,1.2349895,2.5424786,3.696046,1.7780894,1.5103517,3.939596,3.7912695,2.1860404,2.5690885,2.1413386,3.7349215,1.6147424,1.7925205,3.235618,2.5148633,3.6696148,1.3042166,1.3335947,1.7745653,3.4594111,3.149493,2.1247196,0.98200375,4.275222,1.4918697,1.4182925,1.6020947,2.1142435,2.2333384,1.3885552,2.695336,1.8586454,2.7484443,1.4742975,1.671953,3.9226685,3.6395376,0.86520416,3.6867437,0.9008261,0.6940431,3.6126397,1.8472717,1.415689,1.4831126,0.44517177,1.0147653,1.5751399,2.3764887,4.0199337,2.676676
Midnight Special,3.3637483,4.0604835,5.2323995,3.899867,2.7500477,2.7063415,5.1000543,0.14062272,3.201111,3.0349803,1.0847789,3.056164,4.574772,4.1007113,4.039779,3.2806497,4.57565,2.155121,2.4119182,4.6329484,3.4842079,3.0836265,4.1895995,1.8812238,3.584999,2.1362896,2.6821258,4.8189077,3.2583501,3.9091277,3.6762216,5.0054545,5.0599246,3.4517949,0.41709664,4.204021,0.0,1.9564294,4.447566,4.7720547,3.9961796,4.4398284,5.260962,3.9005437,2.0143127,5.11224,5.1045613,2.4808896,4.670087,2.2172222,4.458898,2.2671902,2.6922247,3.716263,4.0733037,0.82032996,2.0760403,3.3937807,1.732811,3.2128189,0.48825786,4.3283906,4.070177,1.5548339,2.3404844,0.7712575,4.9771733,4.498834,3.2584062,1.2765296,2.7260704,2.2496543,4.6000834,0.18706317,3.0721452,3.4925761,4.325621,3.1162293,2.6929312,3.5668955,2.1164079,5.175579,2.3731287,3.8646905,3.509261,0.5938757,0.61183107,3.4438465,2.2964394,4.1842594,4.822534,2.3280406,3.8609772,4.0340066,3.7184293,3.8325121,4.0941386,4.970412,1.9587696,0.98999333,2.3910258
Batman v Superman: Dawn of Justice,2.6561499,2.923247,4.5712066,2.607297,1.0357423,2.3999252,4.420151,1.9328332,2.447279,1.7207457,1.2252884,1.6667097,3.9744651,3.0112965,3.7606738,2.0762408,3.8192863,0.5064568,0.55265903,4.2065926,3.2329257,2.4245708,3.3152246,1.041716,2.1456437,2.316314,0.93844783,4.2936416,2.935922,3.020321,3.4873557,4.374425,4.6126385,3.2261705,1.7678294,3.485528,1.9564294,0.0,3.9449189,3.904777,3.4804688,3.4054677,4.7990146,2.8514273,0.8069978,4.6721506,4.4686685,2.4122522,3.60363,1.0329572,3.2716,1.5590414,1.0807114,2.3148444,3.7723637,1.4709569,0.37618473,1.9110808,2.0512314,2.0847988,1.7293494,3.8693972,3.7948499,0.8692594,1.789043,1.3496915,4.396579,3.278467,2.389567,0.8846591,0.86010516,2.4089894,3.599795,1.8847947,2.9153786,2.7685893,3.9857702,2.0973985,1.9433987,2.8076713,2.1770074,4.4925275,2.4827707,2.680371,2.4686685,1.6163888,1.6634312,2.8946729,0.87448835,3.6590388,4.1608343,0.4467621,3.6201468,2.8199153,2.6106477,3.2428482,3.488424,4.570221,2.2088866,1.3399315,2.4004483
My Big Fat Greek Wedding 2,2.0668364,1.646393,1.0538095,2.0678005,3.6206393,2.847221,1.1810437,4.5419025,2.4763882,3.2808363,4.2072153,3.3362513,0.530383,1.5657861,1.3969439,3.0533786,0.9091127,4.002852,4.041952,0.76734334,1.7382591,2.5114,1.3683378,3.4673443,2.4622166,3.2571454,3.8324401,0.45549896,1.4974948,1.3895437,1.6331629,0.8315701,0.75912535,1.264745,4.5574265,1.0793381,4.447566,3.9449189,0.0,1.2788168,0.7852002,1.3735608,1.0300545,1.6884204,4.0612245,0.93800825,0.91753364,3.0562634,1.5003911,4.08122,1.7171419,3.1935425,4.0684047,2.342274,0.83143747,4.249083,4.2084336,2.6118965,2.9151669,3.0512507,4.0082726,1.0487608,1.2615086,3.7481575,3.1553319,4.016999,0.5953567,1.8240857,2.4818861,3.9286835,3.6476946,2.4203362,1.4346256,4.5312796,1.6402966,2.3235655,0.85524625,2.9998755,2.9481091,2.3163693,3.1616561,1.3416172,3.1547391,1.9825836,2.3320103,4.2076154,3.9116507,1.5655053,4.067429,0.38876748,0.9548411,4.080205,1.3390985,1.9235271,1.9801795,1.11666,0.5263324,0.733015,2.7079628,4.3621016,3.1302898
Everybody Wants Some!!,2.099287,1.5932026,0.8871784,1.9503404,3.4984772,2.8737624,0.699862,4.844444,2.3335235,3.086305,4.4385366,3.1332738,0.803398,1.4706467,1.8047736,2.8754258,0.40911487,3.9689457,3.9286683,1.2985855,2.0323586,2.465528,1.1191798,3.4959288,2.3478966,3.376613,3.719105,1.4965013,2.1578865,1.7013696,1.963261,1.3388317,1.7544987,2.0295026,4.7956963,1.3667359,4.7720547,3.904777,1.2788168,0.0,1.5113069,0.8424503,2.0064573,1.8287448,4.1106696,1.9907143,0.85749096,3.150575,0.75533754,4.13032,1.1796131,3.202269,3.9819489,2.2149842,1.4825331,4.546952,4.1423945,2.5064654,3.3484612,2.8821595,4.3118253,1.3689139,1.8821368,3.8093855,3.1679037,4.217977,1.1130964,1.1584228,2.2776158,4.0527487,3.4751186,2.9546683,0.6890434,4.8469415,2.333332,2.2169442,1.3779503,2.8412533,2.8853154,2.1836014,3.3141801,0.7621313,3.2212236,2.0146384,1.9656972,4.5365586,4.256124,1.9520153,4.060458,1.4337937,1.3735267,3.9747117,1.7138937,1.8519138,2.0660126,1.6546674,1.3286958,1.6712341,3.187101,4.6010323,3.2131581
God's Not Dead 2,1.4144739,1.3811337,1.6440228,1.7892153,3.2407057,2.2636323,1.7048746,4.0865784,1.9127725,2.6449609,3.7427232,2.7146327,1.03379,1.2916007,1.641508,2.3888664,1.1241543,3.5496979,3.581438,1.3094348,1.7876258,1.8580583,0.9454458,2.8887627,2.1527429,2.7328641,3.4515135,1.0145841,1.0396523,0.8782482,1.7587427,1.0192685,1.2807993,0.9092053,4.097433,0.5165328,3.9961796,3.4804688,0.7852002,1.5113069,0.0,1.333434,1.4802121,1.2454361,3.6397612,1.3754193,1.4998083,2.49094,1.4274062,3.6753206,1.5596532,2.5733025,3.711798,1.9715905,1.1544385,3.7767992,3.7831066,2.2892802,2.3594108,2.3753438,3.5387583,1.3932556,1.4700875,3.1975932,2.536083,3.5269816,1.1995448,1.6723211,1.9239805,3.3896897,3.2269013,1.8687575,1.3299382,4.0771565,1.1590325,1.6367416,1.2997701,2.3222435,2.3170173,1.6333181,2.5982065,1.8557391,2.6490953,1.6377898,1.8686082,3.7380989,3.4394844,0.83470875,3.6689506,0.5452481,0.85232806,3.6419227,1.5345899,1.6242534,1.6049069,0.355877,0.7359794,1.3205125,2.149119,3.88484,2.5956478
Meet the Blacks,1.8568015,1.0654788,1.4763544,1.1683838,2.8778782,2.7487338,1.3816549,4.510897,2.1713371,2.5307672,3.9538693,2.551125,1.1463002,1.036205,1.8064873,2.318635,0.8209977,3.3976862,3.351896,1.5304817,1.9124162,2.2242484,0.86462235,3.0781872,1.6377974,3.270561,3.1114006,1.569711,1.7623358,1.1668147,1.958298,1.4266685,1.860024,1.7746627,4.4688315,1.0906672,4.4398284,3.4054677,1.3735608,0.8424503,1.333434,0.0,2.0735247,1.0982823,3.5374167,2.0255053,1.4078307,3.041841,0.5412835,3.5265498,0.82834464,2.8456676,3.3737786,1.4785823,1.6150295,4.0904837,3.643039,1.8319521,3.0136626,2.3759563,3.9887803,1.4176513,1.7889827,3.392569,2.873892,3.8724186,1.4067489,0.8316133,2.0766964,3.6107333,2.8851,2.6413474,0.605541,4.4901605,2.0035794,1.9297448,1.6152722,2.4031022,2.581811,1.8854817,3.1499119,1.4725718,3.1685903,1.2118459,1.7690741,4.118004,3.882835,1.6615297,3.4677515,1.3520157,1.3474015,3.425997,1.7894423,1.0355957,1.2741814,1.3342913,1.2217393,1.8254522,2.857709,4.1230593,3.1264162
Miles Ahead,2.8252838,2.2929077,1.4436485,2.7062402,4.417485,3.6817138,1.7390833,5.3617563,3.306441,4.030041,5.006857,4.081285,1.3715435,2.2344484,2.1110945,3.7537243,1.7017595,4.822634,4.861917,1.373358,2.5703487,3.3023653,2.0826166,4.3145065,3.154394,4.1209435,4.6326118,0.59479976,2.1780212,1.9780903,2.4455168,0.90340084,0.3528576,1.9585093,5.4018707,1.6702429,5.260962,4.7990146,1.0300545,2.0064573,1.4802121,2.0735247,0.0,2.25973,4.8658924,0.16039768,1.3708277,3.8895662,2.1341321,4.8624206,2.3739457,4.0251794,4.859031,2.9990256,1.6727294,5.0339017,5.064552,3.3381157,3.6816409,3.7678638,4.8369613,1.7676858,1.874103,4.601488,3.9893594,4.8716717,0.9499163,2.4959743,3.3137205,4.765452,4.463677,3.156019,2.108323,5.340723,2.3238533,3.0453908,1.6309202,3.7453833,3.7699146,3.0266442,4.004123,1.888579,4.0287724,2.5675862,3.1843672,4.9956293,4.713095,2.2679083,4.8672967,1.1909598,1.1629084,4.915773,2.1648195,2.5061145,2.5893843,1.7637284,1.4049653,0.699441,3.4570377,5.1577287,3.9853237
The Boss,1.505373,0.75207925,2.3022096,0.6837955,2.365396,2.4474728,2.3006222,3.9695456,1.929604,1.9399738,3.3404155,1.9490718,1.7923542,0.8607873,2.2066684,1.7156337,1.6380705,2.8184803,2.786515,2.1095164,2.1553123,1.8698786,1.1009239,2.50674,1.0909513,2.9650996,2.5911124,1.839508,1.3741323,0.5145933,2.2879446,1.7770125,2.1368845,1.5783608,3.9432633,1.0445395,3.9005437,2.8514273,1.6884204,1.8287448,1.2454361,1.0982823,2.25973,0.0,2.956768,2.1705916,2.198749,2.7214885,1.3160352,2.9441059,1.1630447,2.3143077,2.8605974,0.83650964,2.0019476,3.464899,3.1175284,1.2865298,2.4566596,1.8022482,3.4660335,1.9686363,2.0569038,2.8193903,2.3963554,3.341438,1.988877,1.2621119,1.8365872,3.0075438,2.3666246,2.1299806,1.3621882,3.9284024,1.6102154,1.6410555,2.1363933,1.8837947,2.1330569,1.6077379,2.7653873,2.4288228,2.9445164,0.47747192,1.6765876,3.512015,3.313712,1.22007,2.9094641,1.4184151,1.5665654,2.8840537,2.1883793,0.49563232,0.55711895,1.0207726,1.3491168,2.204002,2.310931,3.5012767,2.8402927
Hardcore Henry,3.0735564,3.1642487,4.723386,2.6654763,0.9287489,2.9396508,4.5744567,2.0167184,2.9828637,2.1110847,0.99078834,2.027668,4.1223645,3.2877247,3.6916885,2.4303772,4.0069013,0.42936984,0.7518761,4.2473645,3.1463711,2.8988767,3.5731952,1.6050915,2.2303853,2.8231652,0.8043163,4.3926525,2.9245498,3.2055724,3.432659,4.521945,4.6785707,3.2405574,1.9500604,3.6834629,2.0143127,0.8069978,4.0612245,4.1106696,3.6397612,3.5374167,4.8658924,2.956768,0.0,4.731092,4.6170235,2.950521,3.8371031,0.26236615,3.5580037,2.1237743,0.73368436,2.4488134,3.8247116,1.3089168,0.7889107,2.011469,2.1984346,2.4896672,1.8755398,3.8557255,3.7061186,1.4157075,2.3619978,1.6481382,4.5138183,3.571025,2.921785,1.2370998,1.0713431,2.5123656,3.8459327,1.9150853,2.9292035,3.1390486,4.040161,2.5528169,2.5012946,3.1718657,2.68358,4.645659,2.990749,2.7032382,2.9718783,1.5312732,1.6896052,3.1656728,0.29847834,3.7883894,4.33432,0.7347429,3.6166282,2.8681796,2.5929942,3.4168088,3.6209886,4.611046,2.3330004,1.1410736,2.9390056
Demolition,2.737979,2.2229776,1.4681262,2.6210303,4.2996497,3.5809815,1.7446986,5.2138996,3.221252,3.9327722,4.8604555,3.983458,1.3241048,2.1703098,2.005331,3.6636875,1.6680154,4.6946063,4.740752,1.3091726,2.4488647,3.2103758,2.0284827,4.191199,3.059162,4.005483,4.5129194,0.52630454,2.0367985,1.888246,2.3308003,0.91229105,0.31403518,1.8180255,5.2573605,1.6013485,5.11224,4.6721506,0.93800825,1.9907143,1.3754193,2.0255053,0.16039768,2.1705916,4.731092,0.0,1.3827605,3.7826629,2.112563,4.728457,2.3374572,3.9116135,4.7362037,2.9111123,1.5668705,4.8848853,4.9377985,3.2372763,3.5394385,3.6775482,4.6912465,1.6818571,1.7578382,4.472263,3.8787777,4.7312875,0.943954,2.4627104,3.23064,4.6297517,4.3500085,3.013682,2.0836587,5.1916313,2.18006,2.9652886,1.5458153,3.6540778,3.6683743,2.9495504,3.887019,1.8974798,3.9193633,2.476201,3.110287,4.845791,4.5644994,2.1642752,4.7370315,1.0771083,1.1481643,4.7931395,2.0571563,2.425398,2.4890716,1.6611693,1.2979417,0.6492932,3.3146935,5.010816,3.876599
The Invitation,2.5320365,2.0371337,0.15579392,2.4485857,4.0800576,3.3043854,0.37869042,5.1922317,2.8556476,3.7103171,4.8489046,3.7641048,0.54376537,1.9237063,1.6756811,3.4739606,0.73022586,4.527096,4.529279,0.8417813,2.1104634,2.9502385,1.5902692,4.019182,2.8840063,3.7562673,4.3000226,0.9804766,2.238446,1.9779255,1.9528408,0.9829235,1.1124344,2.0033271,5.182122,1.5435244,5.1045613,4.4686685,0.91753364,0.85749096,1.4998083,1.4078307,1.3708277,2.198749,4.6170235,1.3827605,0.0,3.5433095,1.4006228,4.630724,1.7966772,3.7188115,4.543523,2.7570922,1.2526052,4.918786,4.7146206,3.052302,3.61262,3.4744868,4.6550703,1.211755,1.6840209,4.3175244,3.6661217,4.6315794,0.4715323,1.8394281,2.8397813,4.5300264,4.093801,3.1419046,1.338381,5.192167,2.3956337,2.6993036,1.0638965,3.4232361,3.416002,2.6753478,3.6991017,0.533594,3.6042979,2.439181,2.6010032,4.8843465,4.585185,2.1979136,4.5915885,1.2543156,1.2184701,4.5688486,1.6381593,2.3064215,2.4701295,1.7823437,1.2644682,1.0035876,3.4181259,5.0090184,3.6055417
The Jungle Book,1.394242,2.6891282,3.6623688,2.9687216,2.9493437,0.3537524,3.5540507,2.5151608,1.0915513,2.0150485,2.675065,2.1468768,3.075326,2.5993474,3.212645,2.023431,2.969712,2.7626278,2.7866971,3.3759217,2.8759675,1.0389373,2.4335608,1.4476917,2.8695202,0.44208387,3.038367,3.4120977,2.3777094,2.5118053,2.9433556,3.3715792,3.6877577,2.4495292,2.4197958,2.5531807,2.4808896,2.4122522,3.0562634,3.150575,2.49094,3.041841,3.8895662,2.7214885,2.950521,3.7826629,3.5433095,0.0,3.0112295,3.1439002,2.855863,1.027357,3.2978508,2.7900543,2.9176922,2.6272113,2.7444768,2.788811,1.4555027,1.8369844,2.03125,3.2596848,3.2466016,1.6832316,0.77581036,1.9085906,3.4729915,2.8838313,1.2416644,1.9630771,2.728784,1.5941777,2.884948,2.591312,2.2005386,1.5672756,3.1199114,1.5786341,0.9305561,1.6538484,0.3669174,3.6355505,0.41912705,2.9403777,1.6359599,2.5083578,2.1637774,1.7801075,3.0945861,2.8203084,3.1312993,2.7858996,2.9244473,3.011556,2.8691978,2.3193974,2.7947748,3.6622157,1.5020897,2.72569,0.19689873
Barbershop: The Next Cut,1.7642342,1.0817116,1.4474901,1.4683471,3.155554,2.694404,1.3841984,4.733545,2.04941,2.592169,4.2374387,2.6310434,1.2291203,0.9655347,2.1921737,2.3466969,0.8167164,3.6503055,3.5706036,1.7614506,2.3221362,2.1547458,0.72673815,3.1954975,1.891915,3.291849,3.3821058,1.6516907,2.082779,1.2511739,2.3316786,1.3713416,1.9534574,2.0671246,4.6700473,1.0747405,4.670087,3.60363,1.5003911,0.75533754,1.4274062,0.5412835,2.1341321,1.3160352,3.8371031,2.112563,1.4006228,3.0112295,0.0,3.849597,0.5729918,2.8882992,3.6686738,1.6797807,1.8769392,4.365618,3.8525662,2.0793042,3.2178433,2.3771586,4.2038946,1.7730739,2.1819792,3.5394022,2.8849227,4.0596538,1.4550463,0.5515181,1.9543997,3.8001137,3.099895,2.8588908,0.20505244,4.726064,2.2866974,1.8566848,1.8572588,2.3805985,2.5566182,1.8043926,3.175483,1.4750433,3.1670356,1.5297059,1.6233534,4.3821154,4.1289315,1.6830271,3.7683642,1.4858223,1.2551001,3.6423025,2.1220164,1.3435097,1.6344341,1.4236853,1.393134,1.9772155,3.067539,4.3987756,3.1083593
Criminal,3.1809132,3.1849246,4.7355227,2.6251135,0.8941111,3.1167262,4.588647,2.2265244,3.1243987,2.1925304,1.1654536,2.0972323,4.144463,3.3205974,3.683786,2.4969995,4.029814,0.5866686,0.86038274,4.2496443,3.1490352,3.031074,3.610838,1.8072704,2.199851,3.0293782,0.7812686,4.4000893,2.9408228,3.2264862,3.443324,4.5320473,4.678323,3.265145,2.1791902,3.712539,2.2172222,1.0329572,4.08122,4.13032,3.6753206,3.5265498,4.8624206,2.9441059,0.26236615,4.728457,4.630724,3.1439002,3.849597,0.0,3.5815394,2.3049855,0.651877,2.4285645,3.8476937,1.4797839,0.99738365,1.9916612,2.3384192,2.576213,2.0859346,3.8456633,3.6897852,1.6466773,2.5476913,1.8861772,4.521766,3.593846,3.0550013,1.4712418,1.1185231,2.6144853,3.8674474,2.1165564,2.9666328,3.2298076,4.0576735,2.66134,2.6623397,3.257195,2.8844032,4.659183,3.1891074,2.6588006,3.083427,1.7101659,1.877047,3.2403224,0.27082992,3.8140764,4.351179,0.87935656,3.633603,2.8254852,2.5452058,3.4540591,3.6457107,4.608525,2.4551687,1.314962,3.1390066
Green Room,1.6155895,0.66692007,1.843277,1.2240593,2.8416452,2.5384822,1.7989837,4.5115027,1.8423275,2.3418677,3.998817,2.3721452,1.5525876,0.55872333,2.4678743,2.1318917,1.2139634,3.3439453,3.2396076,2.1212072,2.4987924,2.0054932,0.90699977,2.9193487,1.5419719,3.1448374,3.056371,1.8857838,2.146254,1.1012956,2.5540738,1.7060301,2.2341547,2.1951153,4.4276896,1.2349895,4.458898,3.2716,1.7171419,1.1796131,1.5596532,0.82834464,2.3739457,1.1630447,3.5580037,2.3374572,1.7966772,2.855863,0.5729918,3.5815394,0.0,2.6331093,3.3514237,1.3316731,2.1316414,4.13705,3.5061479,1.713775,3.0969503,2.163018,4.0020113,2.102058,2.4481277,3.2596028,2.6501234,3.8170767,1.8142116,0.17753698,1.7271943,3.534687,2.7535932,2.800586,0.6876,4.501033,2.337899,1.8275816,2.1643972,2.1734006,2.3235211,1.7825989,3.0054111,1.8980925,3.050221,1.3506507,1.3589468,4.1646276,3.9306684,1.6251296,3.475149,1.5946444,1.5542394,3.300198,2.3729963,1.1809123,1.5101528,1.4871033,1.4459825,2.3019488,2.9729695,4.1611867,2.9569843
The Huntsman: Winter's War,1.391655,2.3740883,3.8360193,2.4216707,2.0643005,0.9440006,3.7197044,2.2844727,1.1390007,1.128204,2.0661702,1.2333771,3.2238252,2.357816,3.2981606,1.2732579,3.0536966,1.8690076,1.8493282,3.5371442,2.8921883,1.0122547,2.3831499,0.5663727,2.20035,1.1511201,2.1445868,3.5320911,2.2882123,2.277656,3.0519104,3.4844866,3.839044,2.503353,2.157341,2.5424786,2.2671902,1.5590414,3.1935425,3.202269,2.5733025,2.8456676,4.0251794,2.3143077,2.1237743,3.9116135,3.7188115,1.027357,2.8882992,2.3049855,2.6331093,0.0,2.4198716,2.1495569,3.1096475,2.1151366,1.9184257,2.0799203,1.3682286,1.1269288,1.8257825,3.3270228,3.3017225,0.93613005,0.26726526,1.5490419,3.6234474,2.6529214,1.1517487,1.2777776,1.8106622,1.6164923,2.8165424,2.311012,2.1960442,1.4858599,3.3235145,0.95016706,0.47479782,1.5496817,0.92495203,3.807686,1.2670885,2.410109,1.4726114,2.094742,1.859199,1.8012993,2.2361488,2.9037597,3.216714,1.8852735,3.0802023,2.5142665,2.3425648,2.309912,2.8283834,3.8307822,1.464096,2.1396892,1.1062267
Elvis & Nixon,3.193273,2.9954526,4.6324434,2.4263895,0.53409684,3.224019,4.4794765,2.6886494,3.1027017,2.1726694,1.712477,2.0588684,4.0894613,3.142366,3.7722273,2.4831114,3.9342546,0.6998338,0.7279897,4.261193,3.2700725,3.0814552,3.5364015,1.9723214,1.9405036,3.232373,0.33686578,4.378983,3.1139271,3.1691284,3.5614622,4.4951735,4.682998,3.429715,2.5898776,3.696046,2.6922247,1.0807114,4.0684047,3.9819489,3.711798,3.3737786,4.859031,2.8605974,0.73368436,4.7362037,4.543523,3.2978508,3.6686738,0.651877,3.3514237,2.4198716,0.0,2.20509,3.9052126,2.02496,0.95091856,1.7176315,2.7062945,2.5778718,2.5261242,3.8695207,3.7965844,1.8783735,2.6649935,2.2555873,4.473575,3.3510165,3.0050983,1.8174622,0.78248256,2.932369,3.7128065,2.5963223,3.1830049,3.2759004,4.0918384,2.6799612,2.7176747,3.2924333,3.085982,4.5440464,3.3662443,2.5317833,2.953315,2.2365634,2.3613,3.304065,0.43847394,3.8101535,4.321515,0.72292954,3.7217925,2.6677163,2.4710984,3.4947753,3.606639,4.6284246,2.8052428,1.8640351,3.2994258
Keanu,1.7755264,0.947577,2.8390932,0.43071285,1.7048044,2.5260434,2.7756772,3.7624016,1.9865298,1.6209437,3.024553,1.577822,2.363381,1.1231155,2.667224,1.540441,2.1440115,2.2575078,2.1644964,2.7109504,2.470469,2.0000064,1.6348478,2.2178717,0.35667685,2.9935062,1.9251851,2.545004,1.918741,1.2029028,2.6654737,2.5190327,2.8707924,2.17723,3.692181,1.7780894,3.716263,2.3148444,2.342274,2.2149842,1.9715905,1.4785823,2.9990256,0.83650964,2.4488134,2.9111123,2.7570922,2.7900543,1.6797807,2.4285645,1.3316731,2.1495569,2.20509,0.0,2.55002,3.209483,2.526662,0.5563562,2.56624,1.6634684,3.3131623,2.4866726,2.5945,2.496173,2.295441,3.1019566,2.64299,1.3746419,1.8485497,2.6903484,1.6848708,2.401691,1.7663932,3.7131357,2.12127,1.9213597,2.6858559,1.7898626,2.0548863,1.8937452,2.7914836,2.8777833,3.0054724,0.5873018,1.6283823,3.3013804,3.1661744,1.7517883,2.3392558,2.081222,2.3247116,2.258776,2.63114,0.6361722,0.7325034,1.7453898,1.915411,2.9130893,2.4916859,3.1938505,2.8882084
