"node_1","node_2","edge"
8044,9712166,1
24820735,9712166,5
9687651,9712166,3
4746,9712166,5
7486,9712166,4
13432,9712166,5
17294,9712166,5
18467,9712166,5
8820177,9712166,5
9686079,9712166,5
9703637,9712166,5
2906,15963329,5
958,15963329,1
24820735,15963329,5
4746,15963329,5
7486,15963329,5
13432,15963329,5
17294,15963329,5
18467,15963329,5
8820177,15963329,5
9686079,15963329,5
9703637,15963329,5
9712166,15963329,5
8044,15963330,1
24820735,15963330,5
9687651,15963330,3
4746,15963330,5
7486,15963330,5
13432,15963330,5
17294,15963330,5
18467,15963330,5
8820177,15963330,5
9686079,15963330,5
9703637,15963330,5
9712166,15963330,5
15963329,15963330,5
396,26837909,1
8044,26837909,4
398004,26837909,1
4746,26837909,4
7486,26837909,5
17294,26837909,1
8820177,26837909,3
9686079,26837909,1
9703637,26837909,1
9712166,26837909,5
15963329,26837909,3
15963330,26837909,5
2906,9686586,4
541,9686586,2
958,9686586,5
396,9686586,2
8044,9686586,3
24820735,9686586,5
279084,9686586,2
16120407,9686586,1
4746,9686586,5
7486,9686586,5
13432,9686586,5
17294,9686586,5
18467,9686586,5
8820177,9686586,5
9686079,9686586,5
9703637,9686586,5
9712166,9686586,5
15963329,9686586,5
15963330,9686586,5
26837909,9686586,1
8044,13992843,1
24820735,13992843,5
9687651,13992843,3
4746,13992843,5
7486,13992843,4
13432,13992843,5
17294,13992843,5
18467,13992843,5
8820177,13992843,5
9686079,13992843,5
9703637,13992843,5
9712166,13992843,5
15963329,13992843,5
15963330,13992843,5
26837909,13992843,5
9686586,13992843,5
24820735,15885112,5
4746,15885112,5
13432,15885112,5
17294,15885112,5
18467,15885112,5
8820177,15885112,5
9686079,15885112,5
9703637,15885112,5
9712166,15885112,5
15963329,15885112,5
15963330,15885112,5
26837909,15885112,2
9686586,15885112,5
13992843,15885112,5
24820735,16011530,5
9687651,16011530,2
4746,16011530,5
7486,16011530,3
13432,16011530,5
17294,16011530,5
18467,16011530,5
8820177,16011530,5
9686079,16011530,5
9703637,16011530,5
9712166,16011530,5
15963329,16011530,5
15963330,16011530,5
26837909,16011530,5
9686586,16011530,5
13992843,16011530,5
15885112,16011530,5
9688247,16011698,1
24820735,16011698,5
279084,16011698,1
9703907,16011698,3
16010829,16011698,2
4746,16011698,5
13432,16011698,2
17294,16011698,5
18467,16011698,2
8820177,16011698,5
9686079,16011698,5
9703637,16011698,5
9712166,16011698,5
15963329,16011698,5
15963330,16011698,5
26837909,16011698,3
9686586,16011698,5
13992843,16011698,5
15885112,16011698,5
16011530,16011698,5
8044,16735101,1
24820735,16735101,5
9687651,16735101,2
4746,16735101,5
7486,16735101,3
13432,16735101,5
17294,16735101,5
18467,16735101,5
8820177,16735101,5
9686079,16735101,5
9703637,16735101,5
9712166,16735101,5
15963329,16735101,5
15963330,16735101,5
26837909,16735101,4
9686586,16735101,5
13992843,16735101,5
15885112,16735101,5
16011530,16735101,5
16011698,16735101,5
3216,19874,2
9688247,19874,3
398004,19874,3
9701404,19874,5
15843,19874,5
19894,19874,1
9703907,19874,4
9758081,19874,5
16010829,19874,2
23440008,19874,5
24717739,19874,3
3216,20250,2
9688247,20250,2
398004,20250,5
9701404,20250,5
15843,20250,2
19894,20250,3
9703907,20250,1
9758081,20250,5
16010829,20250,3
23440008,20250,5
24717739,20250,3
19874,20250,5
396,20391,1
3216,20391,2
9688247,20391,3
398004,20391,3
9701404,20391,4
15843,20391,4
19894,20391,2
9703907,20391,1
9758081,20391,5
16010829,20391,1
23440008,20391,5
24717739,20391,1
19874,20391,5
20250,20391,5
398004,9688460,1
9701404,9688460,3
15843,9688460,5
19894,9688460,5
9703907,9688460,5
9758081,9688460,5
16010829,9688460,5
23440008,9688460,5
24717739,9688460,5
19874,9688460,5
20250,9688460,5
20391,9688460,5
15843,9707326,5
19894,9707326,5
9703907,9707326,5
9758081,9707326,5
16010829,9707326,5
23440008,9707326,5
24717739,9707326,5
19874,9707326,5
20250,9707326,5
20391,9707326,4
9688460,9707326,5
9688247,16010888,1
398004,16010888,1
9701404,16010888,3
15843,16010888,5
19894,16010888,5
9703907,16010888,5
9758081,16010888,5
16010829,16010888,5
23440008,16010888,5
24717739,16010888,5
19874,16010888,5
20250,16010888,5
