.tail,.head,weight
Jerry Cirino,Teresa Fedor,93
Sandra O'Brien,Teresa Fedor,43
Kirk Schuring,Teresa Fedor,59
Timothy Schaffer,Teresa Fedor,78
Matt Huffman,Teresa Fedor,13
Niraj Antani,Teresa Fedor,13
Dale Martin,Teresa Fedor,4
Andrew Brenner,Robert Hackett,164
Kristina Roegner,Robert Hackett,103
Terry Johnson,Robert Hackett,180
Nickie Antonio,Robert Hackett,145
Bob Peterson,Robert Hackett,127
Louis Blessing,Robert Hackett,177
Stephanie Kunze,Robert Hackett,118
Mark Romanchuk,Robert Hackett,125
Bill Reineke,Robert Hackett,180
Hearcel Craig,Robert Hackett,157
Nathan Manning,Robert Hackett,121
Robert McColley,Robert Hackett,105
Stephen Huffman,Robert Hackett,141
Cecil Thomas,Robert Hackett,174
Theresa Gavarone,Robert Hackett,180
Frank Hoagland,Robert Hackett,141
Steve Wilson,Robert Hackett,162
George Lang,Robert Hackett,126
Tina Maharath,Robert Hackett,102
Michael Rulli,Robert Hackett,154
Jerry Cirino,Robert Hackett,209
Sandra O'Brien,Robert Hackett,95
Kirk Schuring,Robert Hackett,110
Timothy Schaffer,Robert Hackett,158
Matt Huffman,Robert Hackett,25
Niraj Antani,Robert Hackett,40
Dale Martin,Robert Hackett,17
Kristina Roegner,Andrew Brenner,101
Terry Johnson,Andrew Brenner,158
Nickie Antonio,Andrew Brenner,124
Bob Peterson,Andrew Brenner,113
Louis Blessing,Andrew Brenner,143
Stephanie Kunze,Andrew Brenner,110
Mark Romanchuk,Andrew Brenner,122
Bill Reineke,Andrew Brenner,152
Hearcel Craig,Andrew Brenner,136
Nathan Manning,Andrew Brenner,98
Robert McColley,Andrew Brenner,103
Stephen Huffman,Andrew Brenner,122
Cecil Thomas,Andrew Brenner,142
Theresa Gavarone,Andrew Brenner,154
Frank Hoagland,Andrew Brenner,126
Steve Wilson,Andrew Brenner,140
George Lang,Andrew Brenner,122
Tina Maharath,Andrew Brenner,92
Michael Rulli,Andrew Brenner,126
Jerry Cirino,Andrew Brenner,184
Sandra O'Brien,Andrew Brenner,94
Kirk Schuring,Andrew Brenner,96
Timothy Schaffer,Andrew Brenner,157
Matt Huffman,Andrew Brenner,30
Niraj Antani,Andrew Brenner,45
Dale Martin,Andrew Brenner,15
Terry Johnson,Kristina Roegner,100
Nickie Antonio,Kristina Roegner,74
Bob Peterson,Kristina Roegner,86
Louis Blessing,Kristina Roegner,98
Stephanie Kunze,Kristina Roegner,69
Mark Romanchuk,Kristina Roegner,78
Bill Reineke,Kristina Roegner,99
Hearcel Craig,Kristina Roegner,75
Nathan Manning,Kristina Roegner,67
Robert McColley,Kristina Roegner,72
Stephen Huffman,Kristina Roegner,98
Cecil Thomas,Kristina Roegner,89
Theresa Gavarone,Kristina Roegner,101
Frank Hoagland,Kristina Roegner,85
Steve Wilson,Kristina Roegner,92
George Lang,Kristina Roegner,84
Tina Maharath,Kristina Roegner,48
Michael Rulli,Kristina Roegner,84
Jerry Cirino,Kristina Roegner,116
Sandra O'Brien,Kristina Roegner,70
Kirk Schuring,Kristina Roegner,60
Timothy Schaffer,Kristina Roegner,104
Matt Huffman,Kristina Roegner,19
Niraj Antani,Kristina Roegner,36
Dale Martin,Kristina Roegner,10
Nickie Antonio,Terry Johnson,126
Bob Peterson,Terry Johnson,116
Louis Blessing,Terry Johnson,157
Stephanie Kunze,Terry Johnson,107
Mark Romanchuk,Terry Johnson,120
Bill Reineke,Terry Johnson,168
Hearcel Craig,Terry Johnson,138
Nathan Manning,Terry Johnson,113
Robert McColley,Terry Johnson,102
Stephen Huffman,Terry Johnson,126
Cecil Thomas,Terry Johnson,150
Theresa Gavarone,Terry Johnson,168
Frank Hoagland,Terry Johnson,133
Steve Wilson,Terry Johnson,142
George Lang,Terry Johnson,117
Tina Maharath,Terry Johnson,88
Michael Rulli,Terry Johnson,147
Jerry Cirino,Terry Johnson,195
Sandra O'Brien,Terry Johnson,90
Kirk Schuring,Terry Johnson,102
Timothy Schaffer,Terry Johnson,147
Matt Huffman,Terry Johnson,23
Niraj Antani,Terry Johnson,42
Dale Martin,Terry Johnson,17
Bob Peterson,Nickie Antonio,85
Louis Blessing,Nickie Antonio,131
Stephanie Kunze,Nickie Antonio,122
Mark Romanchuk,Nickie Antonio,104
Bill Reineke,Nickie Antonio,130
Hearcel Craig,Nickie Antonio,200
Nathan Manning,Nickie Antonio,116
Robert McColley,Nickie Antonio,67
Stephen Huffman,Nickie Antonio,105
Cecil Thomas,Nickie Antonio,218
Theresa Gavarone,Nickie Antonio,137
Frank Hoagland,Nickie Antonio,93
Steve Wilson,Nickie Antonio,111
George Lang,Nickie Antonio,82
Tina Maharath,Nickie Antonio,162
Michael Rulli,Nickie Antonio,123
Jerry Cirino,Nickie Antonio,148
Sandra O'Brien,Nickie Antonio,71
