cname,ccode,ti_cpi,vdem_academ,wdi_fertility,wdi_afp,bl_asymf,wdi_expedu,wdi_elprodcoal,wef_iu,wdi_foodins,ht_colonial,lp_legor,cai_foetal,cai_mental,cai_physical,ccp_initiat,ccp_market,h_j,wdi_homicides,ccp_strike,wdi_lfpr,br_pvote,br_elect,van_part,bmr_demdur,fh_polity2,vdem_polyarchy,mad_gdppc,top_top1_income_share,wef_sp
Uganda,800,26,0.4399999976158142,4.954999923706055,0.288682222366333,5.7610002,2.130520105361938,NA,23.7065315246582,20.60000038146973,5,1,1,1,1,1,2,0,10.52445983886719,1,71.16999816894531,0,2,23.3799991607666,34,3.5,0.3070000112056732,2045.420288085938,0.1705,156.6666717529297
Ukraine,804,32,0.4480000138282776,1.300999999046326,1.454637408256531,11.568,5.412260055541992,34.57818222045898,58.88948059082031,1.600000023841858,0,NA,1,1,1,2,2,1,6.183730602264404,1,66.58000183105469,1,3,40.79999923706055,28,6.416667,0.4050000011920929,9813.36328125,0.097800002,229.3333282470703
North Macedonia,807,37,0.8610000014305115,1.496000051498413,1.666873335838318,NA,NA,58.35990142822266,79.167755126953125,3.200000047683716,0,NA,1,1,1,1,1,0,1.200216770172119,1,65.25,1,3,56.79999923706055,28,7.666667,0.5889999866485596,13074.2314453125,0.067599997,98.66666412353516
Egypt,818,35,0.0579999983310699,3.325999975204468,2.853937149047852,7.8239999,NA,0,46.92433929443359,7.400000095367432,5,2,0,0,0,2,2,0,NA,2,47.90999984741211,1,2,20.45000076293945,97,2.3333333,0.1860000044107437,11957.2119140625,0.19840001,234.6666717529297
United Kingdom of Great Britain and Northern Ireland (the),826,80,0.9259999990463256,1.679999947547913,0.4324027001857758,12.858,5.442090034484863,22.80648994445801,94.89674377441406,1.299999952316284,0,1,1,1,1,2,2,1,1.204914808273315,3,77.7300033569336,0,3,48.77999877929688,134,9.5,0.8740000128746033,38058.0859375,0.1296,1289
"Tanzania, the United Republic of",834,36,0.6119999885559082,4.892000198364258,0.1064569428563118,6.507,3.696439981460571,0,25,23.79999923706055,5,1,0,1,1,2,2,1,6.482657432556152,3,84.6500015258789,0,2,30.60000038146973,58,5.333333,0.4160000085830688,2874.962890625,0.1815,147.3333282470703
United States of America (the),840,71,0.9100000262260436,1.72950005531311,0.8334572315216064,12.81,NA,34.23273468017578,87.26611328125,0.800000011920929,0,1,1,1,1,2,2,1,4.956950664520264,3,72.63999938964844,0,3,70,219,9.083334,0.8309999704360962,55334.73828125,0.18960001,2088
Burkina Faso,854,41,0.8989999890327454,5.189000129699707,0.154820591211319,NA,5.383790016174316,NA,16,12.60000038146973,6,2,1,1,1,1,2,0,1.25044047832489,1,67.8499984741211,1,2,17.5,3,6.916667,0.7149999737739563,1589.624145507813,0.14560001,97
Uruguay,858,70,0.975000023841858,1.973000049591064,1.262945890426636,8.9429998,5.047589778900146,0,68.2796630859375,6.400000095367432,2,2,1,1,1,1,2,0,12.06045341491699,1,75.18000030517578,1,3,69.63999938964844,34,10,0.8920000195503235,20185.8359375,0.17020001,163.3333282470703
Uzbekistan,860,23,0.1940000057220459,2.604000091552734,0.4671943485736847,NA,5.2813401222229,4.085195541381836,NA,2.799999952316284,0,NA,1,1,1,2,2,0,1.135802745819092,3,65.25,1,2,56.36999893188477,28,0.66666663,0.1940000057220459,11220.3701171875,0.1692,NA
Venezuela (Bolivarian Republic of),862,18,0.2590000033378601,2.272000074386597,2.723191022872925,10.209,NA,0,72,NA,2,2,0,0,0,1,2,NA,36.6876335144043,1,64.68000030517578,1,1,29.36000061035156,14,2.1666667,0.2150000035762787,10709.9501953125,0.1972,193
Samoa,882,NA,NA,3.877000093460083,NA,NA,4.162220001220703,NA,NA,3.400000095367432,5,1,0,1,1,2,2,NA,NA,3,46.68000030517578,0,2,41.84999847412109,57,NA,NA,NA,NA,NA
Yemen,887,14,0.1239999979734421,3.79200005531311,0.3047954738140106,4.7399998,NA,0,26.71835517883301,NA,5,NA,0,0,0,NA,NA,NA,NA,NA,39.18999862670898,NA,0,24.51000022888184,29,2.9166667,0.1059999987483025,2284.889892578125,0.2463,63.33333206176758
Zambia,894,35,0.6809999942779541,4.632999897003174,0.2256986051797867,7.9879999,4.618090152740479,0,14.29999732971191,22.79999923706055,5,1,1,1,1,2,2,1,5.371749401092529,3,75.30000305175781,0,3,25,11,6.5,0.3499999940395355,3534.03369140625,0.2317,109.6666641235352
