# source, target, id, weight
33,8,1148,-1
33,9,1149,-1
33,10,1150,-1
33,11,1151,-1
33,59,1152,-1
33,12,1153,-1
33,14,1154,-1
33,39,1155,-1
33,60,1156,-1
33,61,1157,-1
33,16,1158,-1
33,17,1159,-1
33,62,1160,-1
33,42,1161,-1
33,40,1162,-1
33,20,1163,-1
33,41,1164,-1
33,21,1165,-1
33,26,1166,-1
33,63,1167,-1
33,27,1168,-1
33,64,1169,-1
33,65,1170,-1
33,38,1171,-1
33,30,1172,-1
33,31,1173,-1
33,66,1174,-1
33,32,1175,-1
33,20,1176,-2
33,3,1177,-2
33,15,1178,-2
33,5,1179,-2
34,18,1180,2
34,67,1181,2
34,68,1182,2
35,1,1183,1
35,54,1184,1
35,5,1185,1
35,36,1186,1
35,55,1187,1
35,37,1188,1
35,9,1189,1
35,12,1190,1
35,13,1191,1
35,39,1192,1
35,14,1193,1
35,15,1194,1
35,62,1195,1
35,42,1196,1
35,40,1197,1
35,6,1198,1
35,21,1199,1
35,22,1200,1
35,23,1201,1
35,38,1202,1
35,0,1203,2
35,34,1204,2
35,41,1205,2
35,16,1206,2
35,17,1207,2
35,31,1208,2
35,30,1209,2
35,18,1210,2
35,63,1211,-1
35,42,1212,-1
35,69,1213,-1
35,27,1214,-1
35,46,1215,-1
35,44,1216,-1
35,48,1217,-1
35,47,1218,-1
35,64,1219,-1
35,42,1220,-2
37,1,1238,1
37,39,1239,1
37,28,1240,1
37,29,1241,1
37,4,1242,1
37,7,1243,1
37,36,1244,1
37,25,1245,1
37,6,1246,2
37,52,1247,2
37,33,1248,2
37,24,1249,2
37,38,1250,2
37,23,1251,2
37,20,1252,2
37,12,1253,2
37,19,1254,2
37,22,1255,2
37,55,1256,2
37,13,1257,-1
37,53,1258,-1
38,27,1345,1
38,22,1346,1
38,14,1347,1
38,6,1348,1
38,27,1349,2
41,11,1513,1
41,65,1514,1
41,66,1515,1
41,10,1516,1
41,59,1517,1
41,0,1518,2
41,34,1519,2
41,35,1520,2
41,36,1521,2
41,29,1522,2
41,38,1523,2
41,39,1524,2
41,40,1525,2
41,26,1526,2
41,64,1527,2
41,42,1528,2
41,60,1529,2
41,30,1530,2
41,2,1531,2
41,8,1532,2
41,32,1533,2
41,61,1534,2
41,27,1535,2
41,58,1536,2
41,16,1537,-1
41,3,1538,-1
41,58,1539,-1
41,16,1540,-2
43,88,1973,1
43,75,1974,1
